F_MASV,F_MAMH,F_NHHK,F_DIEM4
67195.0,3624.0,20201,3.0
67180.0,3488.0,20201,3.5
67818.0,1482.0,20201,2.5
67849.0,1487.0,20201,2.5
67780.0,1577.0,20201,3.0
67652.0,1439.0,20201,3.0
67800.0,1569.0,20201,3.5
67892.0,1622.0,20201,3.0
75738.0,1464.0,20201,3.0
89262.0,3616.0,20201,2.5
67667.0,3490.0,20201,3.0
72633.0,1710.0,20201,2.0
85097.0,3476.0,20201,3.0
91186.0,3501.0,20201,3.5
67955.0,1560.0,20201,3.0
68058.0,1634.0,20201,1.0
68066.0,1442.0,20201,3.5
67771.0,1653.0,20201,3.0
67816.0,1489.0,20201,3.0
67829.0,1632.0,20201,3.0
70377.0,879.0,20201,2.0
71609.0,3835.0,20201,3.5
73363.0,886.0,20201,3.5
70457.0,864.0,20201,2.5
70454.0,869.0,20201,4.0
67349.0,4118.0,20201,1.5
72396.0,4823.0,20201,4.0
72392.0,4823.0,20201,4.0
71694.0,997.0,20201,2.0
72347.0,3161.0,20201,3.0
72187.0,4404.0,20201,1.0
72327.0,4821.0,20201,3.5
72281.0,3476.0,20201,0.0
73601.0,4298.0,20201,4.0
73070.0,768.0,20201,4.0
72581.0,2716.0,20201,3.5
70950.0,753.0,20201,1.0
67419.0,2787.0,20201,3.0
66951.0,2161.0,20201,3.5
66845.0,2222.0,20201,3.5
66940.0,2154.0,20201,2.0
66996.0,2099.0,20201,3.5
71566.0,883.0,20201,4.0
70416.0,879.0,20201,2.5
67739.0,1485.0,20201,2.0
74308.0,2851.0,20201,4.0
74296.0,4820.0,20201,2.0
72074.0,1521.0,20201,4.0
70852.0,3491.0,20201,3.5
71989.0,1546.0,20201,3.5
74091.0,2571.0,20201,4.0
67805.0,1485.0,20201,1.5
72109.0,1548.0,20201,4.0
66791.0,2733.0,20201,4.0
66819.0,2809.0,20201,3.0
66810.0,2809.0,20201,3.0
70471.0,815.0,20201,3.5
71535.0,881.0,20201,4.0
73371.0,747.0,20201,2.5
71551.0,900.0,20201,3.0
73533.0,814.0,20201,2.5
73549.0,747.0,20201,3.0
71551.0,883.0,20201,3.5
71582.0,883.0,20201,3.0
68809.0,1151.0,20201,3.5
69134.0,484.0,20201,3.5
73223.0,1146.0,20201,3.5
70110.0,555.0,20201,3.5
74122.0,1787.0,20201,0.0
71746.0,1710.0,20201,3.0
69477.0,671.0,20201,3.5
74124.0,1786.0,20201,3.5
70710.0,1769.0,20201,2.0
74051.0,883.0,20201,4.0
68160.0,835.0,20201,1.0
66754.0,3491.0,20201,3.5
73450.0,973.0,20201,2.5
71795.0,3491.0,20201,3.5
69442.0,654.0,20201,4.0
70674.0,1743.0,20201,1.5
69409.0,712.0,20201,4.0
70692.0,1763.0,20201,3.0
71752.0,1776.0,20201,3.0
69398.0,310.0,20201,4.0
69313.0,301.0,20201,4.0
73123.0,969.0,20201,0.0
73660.0,3285.0,20201,1.0
66832.0,3253.0,20201,3.0
66817.0,2809.0,20201,3.0
67018.0,3283.0,20201,2.0
73646.0,2805.0,20201,4.0
73397.0,3624.0,20201,0.0
69116.0,432.0,20201,2.0
73952.0,1175.0,20201,3.0
69087.0,239.0,20201,3.0
69162.0,184.0,20201,1.5
69162.0,239.0,20201,3.0
68771.0,173.0,20201,3.0
73590.0,4294.0,20201,3.5
69532.0,2540.0,20201,4.0
66877.0,2534.0,20201,3.0
67164.0,2255.0,20201,4.0
66921.0,2099.0,20201,4.0
67531.0,2295.0,20201,4.0
66955.0,2120.0,20201,4.0
85488.0,2065.0,20201,1.5
66998.0,2544.0,20201,4.0
66859.0,3632.0,20201,3.5
67532.0,4120.0,20201,1.0
69509.0,2485.0,20201,4.0
70937.0,1584.0,20201,2.5
70751.0,4933.0,20201,4.0
72246.0,4405.0,20201,3.5
69324.0,527.0,20201,3.0
73117.0,970.0,20201,3.5
70116.0,559.0,20201,2.5
73058.0,3475.0,20201,3.0
73075.0,785.0,20201,1.5
73254.0,1146.0,20201,3.0
70049.0,263.0,20201,1.0
73106.0,585.0,20201,3.0
69328.0,307.0,20201,3.5
66751.0,3076.0,20201,4.0
67025.0,2750.0,20201,3.0
66813.0,3262.0,20201,4.0
66801.0,3262.0,20201,4.0
67411.0,2779.0,20201,4.0
65546.0,814.0,20201,2.5
65818.0,1439.0,20201,3.5
71827.0,1514.0,20201,2.5
71895.0,1620.0,20201,3.0
71895.0,1647.0,20201,2.0
72123.0,1548.0,20201,4.0
72123.0,1517.0,20201,2.5
72055.0,1393.0,20201,2.5
66943.0,2222.0,20201,3.0
